child_num,hex_id,dns_mapping,notes
76,6kgrxgieaaaa,0.0.0.0.0.0.1.0.1.3.6.5.1.2.3.20.h3.vichex.ca.,
77,6kgruiieaaaa,0.0.0.0.0.0.1.0.1.4.0.5.1.2.3.20.h3.vichex.ca.,
78,6kgruyieaaaa,0.0.0.0.0.0.1.0.1.4.1.5.1.2.3.20.h3.vichex.ca.,
79,6kgrviieaaaa,0.0.0.0.0.0.1.0.1.4.2.5.1.2.3.20.h3.vichex.ca.,
80,6kgrvyieaaaa,0.0.0.0.0.0.1.0.1.4.3.5.1.2.3.20.h3.vichex.ca.,
81,6kgrwiieaaaa,0.0.0.0.0.0.1.0.1.4.4.5.1.2.3.20.h3.vichex.ca.,
82,6kgrwyieaaaa,0.0.0.0.0.0.1.0.1.4.5.5.1.2.3.20.h3.vichex.ca.,
83,6kgrxiieaaaa,0.0.0.0.0.0.1.0.1.4.6.5.1.2.3.20.h3.vichex.ca.,
84,6kgrukieaaaa,0.0.0.0.0.0.1.0.1.5.0.5.1.2.3.20.h3.vichex.ca.,
85,6kgru2ieaaaa,0.0.0.0.0.0.1.0.1.5.1.5.1.2.3.20.h3.vichex.ca.,
86,6kgrvkieaaaa,0.0.0.0.0.0.1.0.1.5.2.5.1.2.3.20.h3.vichex.ca.,
87,6kgrv2ieaaaa,0.0.0.0.0.0.1.0.1.5.3.5.1.2.3.20.h3.vichex.ca.,
88,6kgrwkieaaaa,0.0.0.0.0.0.1.0.1.5.4.5.1.2.3.20.h3.vichex.ca.,
89,6kgrw2ieaaaa,0.0.0.0.0.0.1.0.1.5.5.5.1.2.3.20.h3.vichex.ca.,
90,6kgrxkieaaaa,0.0.0.0.0.0.1.0.1.5.6.5.1.2.3.20.h3.vichex.ca.,
91,6kgrumieaaaa,0.0.0.0.0.0.1.0.1.6.0.5.1.2.3.20.h3.vichex.ca.,
92,6kgru4ieaaaa,0.0.0.0.0.0.1.0.1.6.1.5.1.2.3.20.h3.vichex.ca.,
93,6kgrvmieaaaa,0.0.0.0.0.0.1.0.1.6.2.5.1.2.3.20.h3.vichex.ca.,
94,6kgrv4ieaaaa,0.0.0.0.0.0.1.0.1.6.3.5.1.2.3.20.h3.vichex.ca.,
95,6kgrwmieaaaa,0.0.0.0.0.0.1.0.1.6.4.5.1.2.3.20.h3.vichex.ca.,
96,6kgrw4ieaaaa,0.0.0.0.0.0.1.0.1.6.5.5.1.2.3.20.h3.vichex.ca.,
97,6kgrxmieaaaa,0.0.0.0.0.0.1.0.1.6.6.5.1.2.3.20.h3.vichex.ca.,
98,6kgruaqeaaaa,0.0.0.0.0.0.1.0.2.0.0.5.1.2.3.20.h3.vichex.ca.,
99,6kgruqqeaaaa,0.0.0.0.0.0.1.0.2.0.1.5.1.2.3.20.h3.vichex.ca.,
100,6kgrvaqeaaaa,0.0.0.0.0.0.1.0.2.0.2.5.1.2.3.20.h3.vichex.ca.,
101,6kgrvqqeaaaa,0.0.0.0.0.0.1.0.2.0.3.5.1.2.3.20.h3.vichex.ca.,
102,6kgrwaqeaaaa,0.0.0.0.0.0.1.0.2.0.4.5.1.2.3.20.h3.vichex.ca.,
103,6kgrwqqeaaaa,0.0.0.0.0.0.1.0.2.0.5.5.1.2.3.20.h3.vichex.ca.,
104,6kgrxaqeaaaa,0.0.0.0.0.0.1.0.2.0.6.5.1.2.3.20.h3.vichex.ca.,
105,6kgrucqeaaaa,0.0.0.0.0.0.1.0.2.1.0.5.1.2.3.20.h3.vichex.ca.,
106,6kgrusqeaaaa,0.0.0.0.0.0.1.0.2.1.1.5.1.2.3.20.h3.vichex.ca.,
107,6kgrvcqeaaaa,0.0.0.0.0.0.1.0.2.1.2.5.1.2.3.20.h3.vichex.ca.,
108,6kgrvsqeaaaa,0.0.0.0.0.0.1.0.2.1.3.5.1.2.3.20.h3.vichex.ca.,
109,6kgrwcqeaaaa,0.0.0.0.0.0.1.0.2.1.4.5.1.2.3.20.h3.vichex.ca.,
110,6kgrwsqeaaaa,0.0.0.0.0.0.1.0.2.1.5.5.1.2.3.20.h3.vichex.ca.,
111,6kgrxcqeaaaa,0.0.0.0.0.0.1.0.2.1.6.5.1.2.3.20.h3.vichex.ca.,
112,6kgrueqeaaaa,0.0.0.0.0.0.1.0.2.2.0.5.1.2.3.20.h3.vichex.ca.,
113,6kgruuqeaaaa,0.0.0.0.0.0.1.0.2.2.1.5.1.2.3.20.h3.vichex.ca.,
114,6kgrveqeaaaa,0.0.0.0.0.0.1.0.2.2.2.5.1.2.3.20.h3.vichex.ca.,
115,6kgrvuqeaaaa,0.0.0.0.0.0.1.0.2.2.3.5.1.2.3.20.h3.vichex.ca.,
116,6kgrweqeaaaa,0.0.0.0.0.0.1.0.2.2.4.5.1.2.3.20.h3.vichex.ca.,
117,6kgrwuqeaaaa,0.0.0.0.0.0.1.0.2.2.5.5.1.2.3.20.h3.vichex.ca.,
118,6kgrxeqeaaaa,0.0.0.0.0.0.1.0.2.2.6.5.1.2.3.20.h3.vichex.ca.,
119,6kgrugqeaaaa,0.0.0.0.0.0.1.0.2.3.0.5.1.2.3.20.h3.vichex.ca.,
120,6kgruwqeaaaa,0.0.0.0.0.0.1.0.2.3.1.5.1.2.3.20.h3.vichex.ca.,
121,6kgrvgqeaaaa,0.0.0.0.0.0.1.0.2.3.2.5.1.2.3.20.h3.vichex.ca.,
122,6kgrvwqeaaaa,0.0.0.0.0.0.1.0.2.3.3.5.1.2.3.20.h3.vichex.ca.,
123,6kgrwgqeaaaa,0.0.0.0.0.0.1.0.2.3.4.5.1.2.3.20.h3.vichex.ca.,
124,6kgrwwqeaaaa,0.0.0.0.0.0.1.0.2.3.5.5.1.2.3.20.h3.vichex.ca.,
125,6kgrxgqeaaaa,0.0.0.0.0.0.1.0.2.3.6.5.1.2.3.20.h3.vichex.ca.,
126,6kgruiqeaaaa,0.0.0.0.0.0.1.0.2.4.0.5.1.2.3.20.h3.vichex.ca.,
127,6kgruyqeaaaa,0.0.0.0.0.0.1.0.2.4.1.5.1.2.3.20.h3.vichex.ca.,
128,6kgrviqeaaaa,0.0.0.0.0.0.1.0.2.4.2.5.1.2.3.20.h3.vichex.ca.,
129,6kgrvyqeaaaa,0.0.0.0.0.0.1.0.2.4.3.5.1.2.3.20.h3.vichex.ca.,
130,6kgrwiqeaaaa,0.0.0.0.0.0.1.0.2.4.4.5.1.2.3.20.h3.vichex.ca.,
131,6kgrwyqeaaaa,0.0.0.0.0.0.1.0.2.4.5.5.1.2.3.20.h3.vichex.ca.,
132,6kgrxiqeaaaa,0.0.0.0.0.0.1.0.2.4.6.5.1.2.3.20.h3.vichex.ca.,
133,6kgrukqeaaaa,0.0.0.0.0.0.1.0.2.5.0.5.1.2.3.20.h3.vichex.ca.,
134,6kgru2qeaaaa,0.0.0.0.0.0.1.0.2.5.1.5.1.2.3.20.h3.vichex.ca.,
135,6kgrvkqeaaaa,0.0.0.0.0.0.1.0.2.5.2.5.1.2.3.20.h3.vichex.ca.,
136,6kgrv2qeaaaa,0.0.0.0.0.0.1.0.2.5.3.5.1.2.3.20.h3.vichex.ca.,
137,6kgrwkqeaaaa,0.0.0.0.0.0.1.0.2.5.4.5.1.2.3.20.h3.vichex.ca.,
138,6kgrw2qeaaaa,0.0.0.0.0.0.1.0.2.5.5.5.1.2.3.20.h3.vichex.ca.,
139,6kgrxkqeaaaa,0.0.0.0.0.0.1.0.2.5.6.5.1.2.3.20.h3.vichex.ca.,
140,6kgrumqeaaaa,0.0.0.0.0.0.1.0.2.6.0.5.1.2.3.20.h3.vichex.ca.,
141,6kgru4qeaaaa,0.0.0.0.0.0.1.0.2.6.1.5.1.2.3.20.h3.vichex.ca.,
142,6kgrvmqeaaaa,0.0.0.0.0.0.1.0.2.6.2.5.1.2.3.20.h3.vichex.ca.,
143,6kgrv4qeaaaa,0.0.0.0.0.0.1.0.2.6.3.5.1.2.3.20.h3.vichex.ca.,"Royal Oak Common Crawl Common Crawl"
144,6kgrwmqeaaaa,0.0.0.0.0.0.1.0.2.6.4.5.1.2.3.20.h3.vichex.ca.,
145,6kgrw4qeaaaa,0.0.0.0.0.0.1.0.2.6.5.5.1.2.3.20.h3.vichex.ca.,
146,6kgrxmqeaaaa,0.0.0.0.0.0.1.0.2.6.6.5.1.2.3.20.h3.vichex.ca.,
147,6kgruayeaaaa,0.0.0.0.0.0.1.0.3.0.0.5.1.2.3.20.h3.vichex.ca.,
148,6kgruqyeaaaa,0.0.0.0.0.0.1.0.3.0.1.5.1.2.3.20.h3.vichex.ca.,
149,6kgrvayeaaaa,0.0.0.0.0.0.1.0.3.0.2.5.1.2.3.20.h3.vichex.ca.,
150,6kgrvqyeaaaa,0.0.0.0.0.0.1.0.3.0.3.5.1.2.3.20.h3.vichex.ca.,
151,6kgrwayeaaaa,0.0.0.0.0.0.1.0.3.0.4.5.1.2.3.20.h3.vichex.ca.,
152,6kgrwqyeaaaa,0.0.0.0.0.0.1.0.3.0.5.5.1.2.3.20.h3.vichex.ca.,
153,6kgrxayeaaaa,0.0.0.0.0.0.1.0.3.0.6.5.1.2.3.20.h3.vichex.ca.,
154,6kgrucyeaaaa,0.0.0.0.0.0.1.0.3.1.0.5.1.2.3.20.h3.vichex.ca.,
155,6kgrusyeaaaa,0.0.0.0.0.0.1.0.3.1.1.5.1.2.3.20.h3.vichex.ca.,
156,6kgrvcyeaaaa,0.0.0.0.0.0.1.0.3.1.2.5.1.2.3.20.h3.vichex.ca.,
157,6kgrvsyeaaaa,0.0.0.0.0.0.1.0.3.1.3.5.1.2.3.20.h3.vichex.ca.,
158,6kgrwcyeaaaa,0.0.0.0.0.0.1.0.3.1.4.5.1.2.3.20.h3.vichex.ca.,
159,6kgrwsyeaaaa,0.0.0.0.0.0.1.0.3.1.5.5.1.2.3.20.h3.vichex.ca.,
160,6kgrxcyeaaaa,0.0.0.0.0.0.1.0.3.1.6.5.1.2.3.20.h3.vichex.ca.,
161,6kgrueyeaaaa,0.0.0.0.0.0.1.0.3.2.0.5.1.2.3.20.h3.vichex.ca.,
162,6kgruuyeaaaa,0.0.0.0.0.0.1.0.3.2.1.5.1.2.3.20.h3.vichex.ca.,
163,6kgrveyeaaaa,0.0.0.0.0.0.1.0.3.2.2.5.1.2.3.20.h3.vichex.ca.,
164,6kgrvuyeaaaa,0.0.0.0.0.0.1.0.3.2.3.5.1.2.3.20.h3.vichex.ca.,
165,6kgrweyeaaaa,0.0.0.0.0.0.1.0.3.2.4.5.1.2.3.20.h3.vichex.ca.,
166,6kgrwuyeaaaa,0.0.0.0.0.0.1.0.3.2.5.5.1.2.3.20.h3.vichex.ca.,
167,6kgrxeyeaaaa,0.0.0.0.0.0.1.0.3.2.6.5.1.2.3.20.h3.vichex.ca.,
168,6kgrugyeaaaa,0.0.0.0.0.0.1.0.3.3.0.5.1.2.3.20.h3.vichex.ca.,
169,6kgruwyeaaaa,0.0.0.0.0.0.1.0.3.3.1.5.1.2.3.20.h3.vichex.ca.,
170,6kgrvgyeaaaa,0.0.0.0.0.0.1.0.3.3.2.5.1.2.3.20.h3.vichex.ca.,
171,6kgrvwyeaaaa,0.0.0.0.0.0.1.0.3.3.3.5.1.2.3.20.h3.vichex.ca.,
172,6kgrwgyeaaaa,0.0.0.0.0.0.1.0.3.3.4.5.1.2.3.20.h3.vichex.ca.,
173,6kgrwwyeaaaa,0.0.0.0.0.0.1.0.3.3.5.5.1.2.3.20.h3.vichex.ca.,
174,6kgrxgyeaaaa,0.0.0.0.0.0.1.0.3.3.6.5.1.2.3.20.h3.vichex.ca.,
175,6kgruiyeaaaa,0.0.0.0.0.0.1.0.3.4.0.5.1.2.3.20.h3.vichex.ca.,
176,6kgruyyeaaaa,0.0.0.0.0.0.1.0.3.4.1.5.1.2.3.20.h3.vichex.ca.,
177,6kgrviyeaaaa,0.0.0.0.0.0.1.0.3.4.2.5.1.2.3.20.h3.vichex.ca.,
178,6kgrvyyeaaaa,0.0.0.0.0.0.1.0.3.4.3.5.1.2.3.20.h3.vichex.ca.,
179,6kgrwiyeaaaa,0.0.0.0.0.0.1.0.3.4.4.5.1.2.3.20.h3.vichex.ca.,
180,6kgrwyyeaaaa,0.0.0.0.0.0.1.0.3.4.5.5.1.2.3.20.h3.vichex.ca.,
181,6kgrxiyeaaaa,0.0.0.0.0.0.1.0.3.4.6.5.1.2.3.20.h3.vichex.ca.,
182,6kgrukyeaaaa,0.0.0.0.0.0.1.0.3.5.0.5.1.2.3.20.h3.vichex.ca.,
183,6kgru2yeaaaa,0.0.0.0.0.0.1.0.3.5.1.5.1.2.3.20.h3.vichex.ca.,
184,6kgrvkyeaaaa,0.0.0.0.0.0.1.0.3.5.2.5.1.2.3.20.h3.vichex.ca.,
185,6kgrv2yeaaaa,0.0.0.0.0.0.1.0.3.5.3.5.1.2.3.20.h3.vichex.ca.,
186,6kgrwkyeaaaa,0.0.0.0.0.0.1.0.3.5.4.5.1.2.3.20.h3.vichex.ca.,
187,6kgrw2yeaaaa,0.0.0.0.0.0.1.0.3.5.5.5.1.2.3.20.h3.vichex.ca.,
188,6kgrxkyeaaaa,0.0.0.0.0.0.1.0.3.5.6.5.1.2.3.20.h3.vichex.ca.,
189,6kgrumyeaaaa,0.0.0.0.0.0.1.0.3.6.0.5.1.2.3.20.h3.vichex.ca.,
190,6kgru4yeaaaa,0.0.0.0.0.0.1.0.3.6.1.5.1.2.3.20.h3.vichex.ca.,
191,6kgrvmyeaaaa,0.0.0.0.0.0.1.0.3.6.2.5.1.2.3.20.h3.vichex.ca.,
192,6kgrv4yeaaaa,0.0.0.0.0.0.1.0.3.6.3.5.1.2.3.20.h3.vichex.ca.,
193,6kgrwmyeaaaa,0.0.0.0.0.0.1.0.3.6.4.5.1.2.3.20.h3.vichex.ca.,
194,6kgrw4yeaaaa,0.0.0.0.0.0.1.0.3.6.5.5.1.2.3.20.h3.vichex.ca.,
195,6kgrxmyeaaaa,0.0.0.0.0.0.1.0.3.6.6.5.1.2.3.20.h3.vichex.ca.,
196,6kgrubaeaaaa,0.0.0.0.0.0.1.0.4.0.0.5.1.2.3.20.h3.vichex.ca.,
197,6kgruraeaaaa,0.0.0.0.0.0.1.0.4.0.1.5.1.2.3.20.h3.vichex.ca.,
198,6kgrvbaeaaaa,0.0.0.0.0.0.1.0.4.0.2.5.1.2.3.20.h3.vichex.ca.,
199,6kgrvraeaaaa,0.0.0.0.0.0.1.0.4.0.3.5.1.2.3.20.h3.vichex.ca.,
200,6kgrwbaeaaaa,0.0.0.0.0.0.1.0.4.0.4.5.1.2.3.20.h3.vichex.ca.,
201,6kgrwraeaaaa,0.0.0.0.0.0.1.0.4.0.5.5.1.2.3.20.h3.vichex.ca.,
202,6kgrxbaeaaaa,0.0.0.0.0.0.1.0.4.0.6.5.1.2.3.20.h3.vichex.ca.,
203,6kgrudaeaaaa,0.0.0.0.0.0.1.0.4.1.0.5.1.2.3.20.h3.vichex.ca.,
204,6kgrutaeaaaa,0.0.0.0.0.0.1.0.4.1.1.5.1.2.3.20.h3.vichex.ca.,
205,6kgrvdaeaaaa,0.0.0.0.0.0.1.0.4.1.2.5.1.2.3.20.h3.vichex.ca.,
206,6kgrvtaeaaaa,0.0.0.0.0.0.1.0.4.1.3.5.1.2.3.20.h3.vichex.ca.,
207,6kgrwdaeaaaa,0.0.0.0.0.0.1.0.4.1.4.5.1.2.3.20.h3.vichex.ca.,
208,6kgrwtaeaaaa,0.0.0.0.0.0.1.0.4.1.5.5.1.2.3.20.h3.vichex.ca.,
209,6kgrxdaeaaaa,0.0.0.0.0.0.1.0.4.1.6.5.1.2.3.20.h3.vichex.ca.,
210,6kgrufaeaaaa,0.0.0.0.0.0.1.0.4.2.0.5.1.2.3.20.h3.vichex.ca.,
211,6kgruvaeaaaa,0.0.0.0.0.0.1.0.4.2.1.5.1.2.3.20.h3.vichex.ca.,
